,entity
0,manufactured_object
1,cell
2,disease_or_syndrome
3,molecular_function
4,anatomical_abnormality
5,environmental_effect_of_humans
6,injury_or_poisoning
7,organic_chemical
8,group_attribute
9,vitamin
10,anatomical_structure
11,behavior
12,bacterium
13,clinical_attribute
14,laboratory_procedure
15,age_group
16,steroid
17,geographic_area
18,organism_function
19,body_space_or_junction
20,natural_phenomenon_or_process
21,receptor
22,immunologic_factor
23,invertebrate
24,eicosanoid
25,phenomenon_or_process
26,cell_or_molecular_dysfunction
27,hormone
28,occupation_or_discipline
29,lipid
30,diagnostic_procedure
31,health_care_related_organization
32,antibiotic
33,mental_process
34,sign_or_symptom
35,chemical_viewed_structurally
36,mental_or_behavioral_dysfunction
37,experimental_model_of_disease
38,molecular_biology_research_technique
39,pathologic_function
40,neoplastic_process
41,self_help_or_relief_organization
42,neuroreactive_substance_or_biogenic_amine
43,animal
44,cell_function
45,congenital_abnormality
46,carbohydrate
47,reptile
48,plant
49,medical_device
50,patient_or_disabled_group
51,physiologic_function
52,individual_behavior
53,biologic_function
54,therapeutic_or_preventive_procedure
55,idea_or_concept
56,embryonic_structure
57,chemical_viewed_functionally
58,enzyme
59,pharmacologic_substance
60,spatial_concept
61,organism_attribute
62,conceptual_entity
63,cell_component
64,research_activity
65,health_care_activity
66,genetic_function
67,machine_activity
68,qualitative_concept
69,organ_or_tissue_function
70,substance
71,population_group
72,biomedical_or_dental_material
73,virus
74,governmental_or_regulatory_activity
75,acquired_abnormality
76,inorganic_chemical
77,mammal
78,laboratory_or_test_result
79,rickettsia_or_chlamydia
80,finding
81,body_location_or_region
82,fully_formed_anatomical_structure
83,organophosphorus_compound
84,food
85,hazardous_or_poisonous_substance
86,carbohydrate_sequence
87,biologically_active_substance
88,human_caused_phenomenon_or_process
89,professional_society
90,molecular_sequence
91,archaeon
92,indicator_reagent_or_diagnostic_aid
93,body_system
94,body_part_organ_or_organ_component
95,nucleic_acid_nucleoside_or_nucleotide
96,amphibian
97,amino_acid_peptide_or_protein
98,human
99,professional_or_occupational_group
100,tissue
101,regulation_or_law
102,family_group
103,intellectual_product
104,organization
105,research_device
106,classification
107,entity
108,temporal_concept
109,nucleotide_sequence
110,social_behavior
111,group
112,fungus
113,gene_or_genome
114,element_ion_or_isotope
115,daily_or_recreational_activity
116,clinical_drug
117,quantitative_concept
118,functional_concept
119,alga
120,biomedical_occupation_or_discipline
121,body_substance
122,drug_delivery_device
123,event
124,language
125,chemical
126,educational_activity
127,fish
128,vertebrate
129,bird
130,amino_acid_sequence
131,occupational_activity
132,physical_object
133,activity
134,organism
