,relation
0,conceptual_part_of
1,part_of
2,process_of
3,isa
4,result_of
5,property_of
6,disrupts
7,associated_with
8,causes
9,assesses_effect_of
10,uses
11,affects
12,location_of
13,adjacent_to
14,method_of
15,complicates
16,interacts_with
17,measures
18,manifestation_of
19,manages
20,ingredient_of
21,exhibits
22,produces
23,practices
24,precedes
25,issue_in
26,co-occurs_with
27,carries_out
28,evaluation_of
29,analyzes
30,performs
31,diagnoses
32,measurement_of
33,prevents
34,treats
35,contains
36,occurs_in
37,surrounds
38,degree_of
39,developmental_form_of
40,indicates
41,consists_of
42,conceptually_related_to
43,derivative_of
44,interconnects
45,connected_to
