relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
term0,0.6067629,-1.2844177,-1.6412425,-1.7018536,-0.37722394,-0.6175282,1.3509326,1.543115,1.0482445,0.24337986,0.9151833,0.15982129,0.4586446,-1.3340803,-1.640555,0.28071892,0.47827157,0.7799138,1.3509525,1.1677129,-1.5348053,2.3254886,-1.1476846,-1.4059652,-0.2647619,-0.5149232,-1.2549291,-1.6459711,-2.4130437,0.6344627,1.2845985,-2.5493379
term1,-0.82815367,0.16797629,0.920376,-0.7524485,-0.49859175,-0.038168326,1.1262034,0.02457828,-1.7544084,-0.096780114,-0.365789,0.7690239,0.79818904,-0.93135875,-1.2292783,0.57403284,1.6773223,-0.06198572,-0.68927777,-1.1209219,0.15420687,-1.3504039,-0.3787225,-0.102039635,-0.64166385,-1.4501088,-0.6368157,-1.9038863,0.13509111,0.9815864,1.2251141,-1.7035477
term10,0.118877165,-0.4781273,0.015229446,-0.75925565,0.22823973,0.48650965,1.0951939,-0.36836356,0.41489837,-0.12805904,0.65425664,-1.0438089,-1.307162,0.019183721,-1.5325581,-0.41553074,0.7496211,1.4290323,-1.3842834,-0.09617253,-0.35720003,-0.03310263,-0.16021577,-0.048115913,-0.3139464,0.38411465,0.57904094,-1.0092514,-0.3875705,-0.5950051,0.8927789,1.0060148
term11,-0.7176996,-0.113667294,0.121183276,-0.49355182,-0.50256974,0.19779426,0.8766484,0.05805153,0.51434195,-0.59577656,0.12855367,0.09888387,-0.24049935,0.9455316,-0.94681674,-0.629177,0.701173,0.99115235,-0.06769392,-0.013984127,0.3112731,0.07896579,0.03781992,0.029329373,-0.1636571,0.25473315,0.25997376,-1.0395366,-0.00168775,-0.66885144,0.7631012,0.5816357
term12,0.51221925,-0.7940751,0.6210629,-1.5430372,-0.10477169,-0.87640995,-0.81455964,0.03369626,-0.41477188,0.33548895,-0.76294786,0.03277462,-0.799073,-1.243556,-0.50172335,0.76008,-1.437446,-0.013845345,-0.46275085,-0.79712564,-0.12225578,-0.58923113,1.0192615,1.1432422,0.2561113,0.30116266,0.98899996,-2.016242,-0.9474171,1.534489,0.7896622,2.3980532
term13,0.3930477,-0.35949945,0.1320315,-1.2597213,-1.2502873,0.319682,-1.0601751,-0.28059575,-0.2593441,-1.5313822,0.09538776,0.57536846,0.28888467,0.13702734,-1.6383772,-0.7384797,-1.1547188,0.018119123,0.14585006,-0.26069003,-0.44038007,-0.56504905,-0.32163727,0.9618416,-0.40329447,-1.2017347,0.5102148,-0.5373584,-0.84265167,0.6441387,1.2527446,0.8071972
term14,0.46711802,-0.9968773,-1.5507265,-0.9708905,0.6719548,0.07333899,-1.3072498,1.779889,0.65182406,-1.7735567,-1.5590206,-0.18949734,0.13769725,-0.6393981,-0.9749736,0.6943281,-1.1693228,0.22669536,0.27601302,0.32703257,-0.38459006,0.7769589,3.0884843,1.7973741,0.12527817,-0.23002717,0.4954232,-2.0594294,0.171182,-0.5910267,0.39178956,0.71952987
term15,-0.41294467,-0.020804469,-1.0343984,-0.6833097,0.65739834,0.02227984,1.0326585,-1.3152049,-0.8276589,0.06608112,0.23103645,-0.4522069,-0.09896918,-0.06764062,-1.0532869,-0.3280004,-0.22787486,-1.1460041,0.19578484,-0.050952703,0.16624722,0.33302662,-0.13567497,-0.177033,-0.056380924,0.10753222,0.48674414,-0.71364325,0.20810014,-0.12064843,-1.1575439,0.1389439
term16,0.12435363,-0.065394305,-0.16930404,-0.50059897,0.018638685,0.11199511,-0.83604854,0.08906157,-0.23904622,0.11897845,-0.041569427,0.24102828,-0.052051105,-0.3935211,-0.6950449,-0.32376084,0.75769657,0.67181504,-0.15741025,0.007816958,-0.020585375,0.23751317,-0.080321126,0.099507704,-0.23859023,0.035870217,-0.22601171,-0.94087434,-0.18165642,0.14564377,-1.1573759,-0.12558833
term17,-0.763992,2.3043218,1.0551407,-1.588918,2.6256416,-1.6105705,-0.97128063,0.6780302,0.61298484,-1.1496472,0.9830676,0.7364123,-0.8845786,0.5703747,-0.96065205,-0.09933045,-1.2183704,-1.6608319,-1.2451651,-0.7455187,-0.24809527,-0.68751085,-0.98969513,-2.8403294,-0.43495116,1.0558354,0.36380935,-1.3337351,1.4397647,0.4076512,1.2339851,0.809054
