,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,diagnoses
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,conceptual_part_of
20,complicates
21,evaluation_of
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,surrounds
27,precedes
28,ingredient_of
29,manifestation_of
30,analyzes
31,carries_out
32,assesses_effect_of
33,prevents
34,uses
35,manages
36,exhibits
37,practices
38,conceptually_related_to
39,connected_to
40,treats
41,adjacent_to
42,developmental_form_of
43,consists_of
44,interconnects
45,derivative_of
