,relation
0,location_of
1,complicates
2,process_of
3,causes
4,associated_with
5,affects
6,issue_in
7,carries_out
8,measures
9,manages
10,part_of
11,assesses_effect_of
12,property_of
13,manifestation_of
14,measurement_of
15,uses
16,diagnoses
17,occurs_in
18,isa
19,result_of
20,prevents
21,interacts_with
22,disrupts
23,produces
24,treats
25,co-occurs_with
26,performs
27,evaluation_of
28,exhibits
29,precedes
30,indicates
31,method_of
32,contains
33,practices
34,consists_of
35,surrounds
36,interconnects
37,ingredient_of
38,analyzes
39,degree_of
40,adjacent_to
41,conceptual_part_of
42,connected_to
43,developmental_form_of
44,derivative_of
45,conceptually_related_to
