Using checkpoint context_size=128 for inference.
Loaded checkpoint run settings: context_size=128, support_sampler=random, permute_support=True
Support capped: 1,111 -> 128 triples (context_size=128, support_size=None).

────────────────────────────────────────────────────
  #      Head                  Relation         Tail
  ─────  ────────────────────  ───────────────  ────────────────────
  1      western_africa        locatedin        africa
  2      slovakia              neighbor         ukraine
  3      slovakia              neighbor         hungary
  4      slovakia              neighbor         austria
  5      slovakia              neighbor         czechia
  6      slovakia              neighbor         poland
  7      niger                 neighbor         algeria
  8      niger                 neighbor         chad
  9      niger                 neighbor         libya
  10     niger                 neighbor         burkina_faso
  11     niger                 neighbor         mali
  12     niger                 neighbor         nigeria
  13     niger                 neighbor         benin
  14     belize                locatedin        americas
  15     morocco               neighbor         western_sahara
  16     morocco               neighbor         spain
  17     morocco               neighbor         algeria
  18     falkland_islands      locatedin        south_america
  19     saint_vincent_and_the_grenadines  locatedin        americas
  20     brunei                locatedin        asia
  21     iran                  locatedin        asia
  22     indonesia             locatedin        asia
  23     senegal               neighbor         gambia
  24     senegal               neighbor         mauritania
  25     senegal               neighbor         mali
  26     senegal               neighbor         guinea-bissau
  27     senegal               neighbor         guinea
  28     central_america       locatedin        americas
  29     equatorial_guinea     neighbor         gabon
  30     equatorial_guinea     neighbor         cameroon
  31     gibraltar             neighbor         spain
  32     hungary               locatedin        eastern_europe
  33     poland                locatedin        eastern_europe
  34     micronesia            locatedin        oceania
  35     eritrea               locatedin        eastern_africa
  36     barbados              locatedin        caribbean
  37     kiribati              locatedin        oceania
  38     italy                 locatedin        europe
  39     new_zealand           locatedin        oceania
  40     liechtenstein         neighbor         switzerland
  41     liechtenstein         neighbor         austria
  42     guam                  locatedin        micronesia
  43     venezuela             neighbor         brazil
  44     venezuela             neighbor         colombia
  45     venezuela             neighbor         guyana
  46     afghanistan           neighbor         pakistan
  47     afghanistan           neighbor         iran
  48     afghanistan           neighbor         turkmenistan
  49     afghanistan           neighbor         uzbekistan
  50     afghanistan           neighbor         china
  51     afghanistan           neighbor         tajikistan
  52     greece                neighbor         turkey
  53     greece                neighbor         albania
  54     greece                neighbor         macedonia
  55     greece                neighbor         bulgaria
  56     iraq                  locatedin        asia
  57     republic_of_the_congo  locatedin        middle_africa
  58     falkland_islands      locatedin        americas
  59     mayotte               locatedin        eastern_africa
  60     qatar                 neighbor         saudi_arabia
