,relation
0,complicates
1,interacts_with
2,performs
3,process_of
4,property_of
5,associated_with
6,issue_in
7,degree_of
8,isa
9,result_of
10,affects
11,location_of
12,measures
13,disrupts
14,causes
15,part_of
16,manages
17,surrounds
18,co-occurs_with
19,prevents
20,carries_out
21,produces
22,evaluation_of
23,manifestation_of
24,occurs_in
25,diagnoses
26,adjacent_to
27,precedes
28,indicates
29,method_of
30,assesses_effect_of
31,treats
32,uses
33,ingredient_of
34,conceptual_part_of
35,contains
36,measurement_of
37,connected_to
38,derivative_of
39,analyzes
40,interconnects
41,exhibits
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,practices
