,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,occurs_in
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,method_of
24,associated_with
25,degree_of
26,precedes
27,ingredient_of
28,manifestation_of
29,analyzes
30,carries_out
31,exhibits
32,assesses_effect_of
33,connected_to
34,adjacent_to
35,prevents
36,uses
37,surrounds
38,practices
39,manages
40,treats
41,developmental_form_of
42,derivative_of
43,consists_of
44,interconnects
45,conceptually_related_to
