,relation
0,issue_in
1,location_of
2,interacts_with
3,result_of
4,produces
5,precedes
6,part_of
7,degree_of
8,co-occurs_with
9,process_of
10,associated_with
11,causes
12,uses
13,measures
14,ingredient_of
15,performs
16,conceptual_part_of
17,affects
18,manifestation_of
19,contains
20,prevents
21,occurs_in
22,measurement_of
23,disrupts
24,isa
25,connected_to
26,treats
27,property_of
28,evaluation_of
29,manages
30,complicates
31,carries_out
32,method_of
33,surrounds
34,interconnects
35,analyzes
36,diagnoses
37,exhibits
38,conceptually_related_to
39,developmental_form_of
40,assesses_effect_of
41,indicates
42,consists_of
43,practices
44,derivative_of
45,adjacent_to
