,relation
0,occurs_in
1,ingredient_of
2,disrupts
3,causes
4,connected_to
5,prevents
6,produces
7,interacts_with
8,precedes
9,issue_in
10,contains
11,affects
12,isa
13,manifestation_of
14,associated_with
15,adjacent_to
16,result_of
17,evaluation_of
18,location_of
19,method_of
20,complicates
21,measurement_of
22,process_of
23,property_of
24,uses
25,conceptual_part_of
26,measures
27,treats
28,part_of
29,performs
30,assesses_effect_of
31,analyzes
32,co-occurs_with
33,diagnoses
34,exhibits
35,degree_of
36,indicates
37,carries_out
38,practices
39,conceptually_related_to
40,manages
41,surrounds
42,interconnects
43,derivative_of
44,developmental_form_of
45,consists_of
