,relation
0,interacts_with
1,conceptual_part_of
2,isa
3,occurs_in
4,location_of
5,manages
6,interconnects
7,causes
8,process_of
9,ingredient_of
10,disrupts
11,measurement_of
12,surrounds
13,assesses_effect_of
14,affects
15,contains
16,associated_with
17,manifestation_of
18,practices
19,precedes
20,analyzes
21,uses
22,diagnoses
23,result_of
24,part_of
25,measures
26,complicates
27,adjacent_to
28,carries_out
29,issue_in
30,prevents
31,co-occurs_with
32,method_of
33,performs
34,exhibits
35,evaluation_of
36,conceptually_related_to
37,produces
38,connected_to
39,consists_of
40,degree_of
41,indicates
42,treats
43,developmental_form_of
44,property_of
45,derivative_of
