,relation
0,location_of
1,complicates
2,process_of
3,causes
4,associated_with
5,affects
6,issue_in
7,carries_out
8,measures
9,manages
10,part_of
11,assesses_effect_of
12,property_of
13,manifestation_of
14,measurement_of
15,uses
16,diagnoses
17,occurs_in
18,isa
19,result_of
20,prevents
21,interacts_with
22,disrupts
23,produces
24,treats
25,ingredient_of
26,performs
27,evaluation_of
28,co-occurs_with
29,exhibits
30,precedes
31,surrounds
32,indicates
33,method_of
34,contains
35,consists_of
36,interconnects
37,analyzes
38,degree_of
39,adjacent_to
40,conceptual_part_of
41,connected_to
42,developmental_form_of
43,practices
44,derivative_of
45,conceptually_related_to
