,relation
0,affects
1,interacts_with
2,isa
3,complicates
4,part_of
5,process_of
6,causes
7,precedes
8,associated_with
9,measures
10,uses
11,occurs_in
12,conceptual_part_of
13,method_of
14,performs
15,property_of
16,issue_in
17,produces
18,co-occurs_with
19,developmental_form_of
20,result_of
21,location_of
22,measurement_of
23,evaluation_of
24,manifestation_of
25,disrupts
26,ingredient_of
27,assesses_effect_of
28,degree_of
29,treats
30,diagnoses
31,indicates
32,analyzes
33,consists_of
34,prevents
35,practices
36,carries_out
37,surrounds
38,interconnects
39,contains
40,exhibits
41,manages
42,adjacent_to
43,derivative_of
44,connected_to
45,conceptually_related_to
