,relation
0,interacts_with
1,affects
2,measures
3,result_of
4,disrupts
5,occurs_in
6,complicates
7,associated_with
8,process_of
9,performs
10,uses
11,analyzes
12,diagnoses
13,manifestation_of
14,co-occurs_with
15,causes
16,isa
17,manages
18,contains
19,precedes
20,produces
21,evaluation_of
22,issue_in
23,part_of
24,location_of
25,adjacent_to
26,property_of
27,exhibits
28,method_of
29,measurement_of
30,assesses_effect_of
31,degree_of
32,prevents
33,carries_out
34,indicates
35,interconnects
36,treats
37,ingredient_of
38,conceptual_part_of
39,connected_to
40,surrounds
41,consists_of
42,developmental_form_of
43,conceptually_related_to
44,practices
45,derivative_of
