,relation
0,process_of
1,issue_in
2,assesses_effect_of
3,interacts_with
4,affects
5,result_of
6,surrounds
7,carries_out
8,produces
9,complicates
10,precedes
11,part_of
12,prevents
13,performs
14,co-occurs_with
15,associated_with
16,measures
17,manifestation_of
18,location_of
19,disrupts
20,indicates
21,isa
22,ingredient_of
23,causes
24,contains
25,degree_of
26,measurement_of
27,uses
28,adjacent_to
29,evaluation_of
30,diagnoses
31,property_of
32,conceptually_related_to
33,treats
34,method_of
35,connected_to
36,conceptual_part_of
37,derivative_of
38,consists_of
39,occurs_in
40,manages
41,exhibits
42,analyzes
43,developmental_form_of
44,interconnects
45,practices
