,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,analyzes
5,analyzes_inverse
6,assesses_effect_of
7,assesses_effect_of_inverse
8,associated_with
9,associated_with_inverse
10,carries_out
11,carries_out_inverse
12,carries_out_inverse_inverse
13,causes
14,causes_inverse
15,co-occurs_with
16,co-occurs_with_inverse
17,co-occurs_with_inverse_inverse
18,complicates
19,complicates_inverse
20,complicates_inverse_inverse
21,conceptual_part_of
22,conceptual_part_of_inverse
23,conceptually_related_to
24,conceptually_related_to_inverse
25,connected_to
26,connected_to_inverse
27,consists_of
28,consists_of_inverse
29,contains
30,contains_inverse
31,degree_of
32,degree_of_inverse
33,derivative_of
34,derivative_of_inverse
35,developmental_form_of
36,developmental_form_of_inverse
37,diagnoses
38,diagnoses_inverse
39,disrupts
40,disrupts_inverse
41,evaluation_of
42,evaluation_of_inverse
43,exhibits
44,exhibits_inverse
45,indicates
46,indicates_inverse
47,ingredient_of
48,ingredient_of_inverse
49,interacts_with
50,interacts_with_inverse
51,interconnects
52,interconnects_inverse
53,isa
54,isa_inverse
55,issue_in
56,issue_in_inverse
57,location_of
58,location_of_inverse
59,manages
60,manages_inverse
61,manifestation_of
62,manifestation_of_inverse
63,measurement_of
64,measurement_of_inverse
65,measures
66,measures_inverse
67,method_of
68,method_of_inverse
69,occurs_in
70,occurs_in_inverse
71,part_of
72,part_of_inverse
73,performs
74,performs_inverse
75,practices
76,practices_inverse
77,precedes
78,precedes_inverse
79,prevents
80,prevents_inverse
81,process_of
82,process_of_inverse
83,process_of_inverse_inverse
84,produces
85,produces_inverse
86,property_of
87,property_of_inverse
88,result_of
89,result_of_inverse
90,surrounds
91,surrounds_inverse
92,treats
93,treats_inverse
94,uses
95,uses_inverse
