,relation
0,location_of
1,evaluation_of
2,isa
3,interacts_with
4,causes
5,co-occurs_with
6,produces
7,exhibits
8,measures
9,carries_out
10,complicates
11,affects
12,part_of
13,property_of
14,result_of
15,occurs_in
16,assesses_effect_of
17,conceptual_part_of
18,associated_with
19,issue_in
20,process_of
21,method_of
22,manifestation_of
23,treats
24,uses
25,performs
26,precedes
27,manages
28,measurement_of
29,analyzes
30,disrupts
31,diagnoses
32,ingredient_of
33,surrounds
34,degree_of
35,derivative_of
36,indicates
37,connected_to
38,consists_of
39,adjacent_to
40,prevents
41,interconnects
42,practices
43,contains
44,developmental_form_of
45,conceptually_related_to
