,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,affects_inverse_inverse
5,analyzes
6,analyzes_inverse
7,analyzes_inverse_inverse
8,assesses_effect_of
9,assesses_effect_of_inverse
10,associated_with
11,associated_with_inverse
12,carries_out
13,carries_out_inverse
14,carries_out_inverse_inverse
15,causes
16,causes_inverse
17,co-occurs_with
18,co-occurs_with_inverse
19,co-occurs_with_inverse_inverse
20,complicates
21,complicates_inverse
22,complicates_inverse_inverse
23,conceptual_part_of
24,conceptual_part_of_inverse
25,conceptually_related_to
26,conceptually_related_to_inverse
27,connected_to
28,connected_to_inverse
29,consists_of
30,consists_of_inverse
31,contains
32,contains_inverse
33,degree_of
34,degree_of_inverse
35,derivative_of
36,derivative_of_inverse
37,developmental_form_of
38,developmental_form_of_inverse
39,diagnoses
40,diagnoses_inverse
41,disrupts
42,disrupts_inverse
43,evaluation_of
44,evaluation_of_inverse
45,exhibits
46,exhibits_inverse
47,exhibits_inverse_inverse
48,indicates
49,indicates_inverse
50,indicates_inverse_inverse
51,ingredient_of
52,ingredient_of_inverse
53,interacts_with
54,interacts_with_inverse
55,interconnects
56,interconnects_inverse
57,isa
58,isa_inverse
59,issue_in
60,issue_in_inverse
61,location_of
62,location_of_inverse
63,manages
64,manages_inverse
65,manifestation_of
66,manifestation_of_inverse
67,measurement_of
68,measurement_of_inverse
69,measurement_of_inverse_inverse
70,measures
71,measures_inverse
72,method_of
73,method_of_inverse
74,occurs_in
75,occurs_in_inverse
76,part_of
77,part_of_inverse
78,performs
79,performs_inverse
80,practices
81,practices_inverse
82,precedes
83,precedes_inverse
84,prevents
85,prevents_inverse
86,prevents_inverse_inverse
87,process_of
88,process_of_inverse
89,process_of_inverse_inverse
90,produces
91,produces_inverse
92,property_of
93,property_of_inverse
94,result_of
95,result_of_inverse
96,surrounds
97,surrounds_inverse
98,treats
99,treats_inverse
100,uses
101,uses_inverse
