,relation
0,location_of
1,evaluation_of
2,isa
3,interacts_with
4,causes
5,co-occurs_with
6,produces
7,exhibits
8,measures
9,carries_out
10,complicates
11,affects
12,part_of
13,property_of
14,result_of
15,occurs_in
16,assesses_effect_of
17,conceptual_part_of
18,associated_with
19,issue_in
20,process_of
21,method_of
22,manifestation_of
23,treats
24,uses
25,performs
26,precedes
27,manages
28,measurement_of
29,analyzes
30,disrupts
31,diagnoses
32,surrounds
33,degree_of
34,derivative_of
35,ingredient_of
36,indicates
37,connected_to
38,adjacent_to
39,prevents
40,consists_of
41,interconnects
42,conceptually_related_to
43,practices
44,contains
45,developmental_form_of
