,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,evaluation_of
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,precedes
27,ingredient_of
28,manifestation_of
29,analyzes
30,carries_out
31,practices
32,assesses_effect_of
33,consists_of
34,exhibits
35,uses
36,surrounds
37,prevents
38,manages
39,connected_to
40,treats
41,conceptually_related_to
42,developmental_form_of
43,adjacent_to
44,derivative_of
45,interconnects
