,relation
0,affects
1,carries_out
2,associated_with
3,evaluation_of
4,process_of
5,analyzes
6,interacts_with
7,disrupts
8,location_of
9,causes
10,part_of
11,isa
12,measures
13,precedes
14,occurs_in
15,result_of
16,diagnoses
17,measurement_of
18,complicates
19,manages
20,treats
21,property_of
22,conceptual_part_of
23,assesses_effect_of
24,derivative_of
25,ingredient_of
26,indicates
27,manifestation_of
28,issue_in
29,performs
30,exhibits
31,produces
32,method_of
33,consists_of
34,contains
35,co-occurs_with
36,uses
37,degree_of
38,prevents
39,adjacent_to
40,practices
41,surrounds
42,interconnects
43,connected_to
44,developmental_form_of
45,conceptually_related_to
