,entity
0,laboratory_or_test_result
1,cell
2,cell_or_molecular_dysfunction
3,neoplastic_process
4,gene_or_genome
5,hazardous_or_poisonous_substance
6,biologic_function
7,research_activity
8,amino_acid_peptide_or_protein
9,pharmacologic_substance
10,molecular_function
11,enzyme
12,chemical_viewed_functionally
13,anatomical_abnormality
14,diagnostic_procedure
15,organ_or_tissue_function
16,bird
17,injury_or_poisoning
18,pathologic_function
19,acquired_abnormality
20,body_space_or_junction
21,organism_attribute
22,bacterium
23,organization
24,element_ion_or_isotope
25,lipid
26,disease_or_syndrome
27,qualitative_concept
28,inorganic_chemical
29,biologically_active_substance
30,receptor
31,age_group
32,chemical
33,genetic_function
34,professional_society
35,professional_or_occupational_group
36,fully_formed_anatomical_structure
37,carbohydrate
38,antibiotic
39,vitamin
40,group_attribute
41,biomedical_or_dental_material
42,congenital_abnormality
43,natural_phenomenon_or_process
44,daily_or_recreational_activity
45,rickettsia_or_chlamydia
46,immunologic_factor
47,molecular_biology_research_technique
48,population_group
49,tissue
50,nucleic_acid_nucleoside_or_nucleotide
51,sign_or_symptom
52,geographic_area
53,hormone
54,medical_device
55,machine_activity
56,organophosphorus_compound
57,body_part_organ_or_organ_component
58,mental_or_behavioral_dysfunction
59,clinical_attribute
60,individual_behavior
61,mental_process
62,body_system
63,group
64,cell_function
65,drug_delivery_device
66,anatomical_structure
67,cell_component
68,chemical_viewed_structurally
69,quantitative_concept
70,organism_function
71,amino_acid_sequence
72,alga
73,patient_or_disabled_group
74,finding
75,research_device
76,physiologic_function
77,steroid
78,health_care_related_organization
79,manufactured_object
80,self_help_or_relief_organization
81,educational_activity
82,invertebrate
83,occupational_activity
84,food
85,health_care_activity
86,social_behavior
87,embryonic_structure
88,body_substance
89,virus
90,organic_chemical
91,animal
92,eicosanoid
93,family_group
94,laboratory_procedure
95,experimental_model_of_disease
96,fish
97,environmental_effect_of_humans
98,entity
99,amphibian
100,intellectual_product
101,neuroreactive_substance_or_biogenic_amine
102,indicator_reagent_or_diagnostic_aid
103,organism
104,regulation_or_law
105,behavior
106,clinical_drug
107,human
108,fungus
109,body_location_or_region
110,therapeutic_or_preventive_procedure
111,phenomenon_or_process
112,molecular_sequence
113,vertebrate
114,functional_concept
115,governmental_or_regulatory_activity
116,substance
117,activity
118,reptile
119,conceptual_entity
120,occupation_or_discipline
121,plant
122,mammal
123,nucleotide_sequence
124,spatial_concept
125,classification
126,human_caused_phenomenon_or_process
127,language
128,temporal_concept
129,carbohydrate_sequence
130,biomedical_occupation_or_discipline
131,physical_object
132,archaeon
133,event
134,idea_or_concept
