,relation
0,indicates
1,location_of
2,associated_with
3,result_of
4,isa
5,produces
6,measures
7,causes
8,complicates
9,affects
10,interacts_with
11,part_of
12,precedes
13,disrupts
14,manifestation_of
15,property_of
16,prevents
17,developmental_form_of
18,carries_out
19,process_of
20,evaluation_of
21,performs
22,issue_in
23,diagnoses
24,assesses_effect_of
25,occurs_in
26,treats
27,degree_of
28,uses
29,ingredient_of
30,conceptual_part_of
31,contains
32,measurement_of
33,connected_to
34,practices
35,method_of
36,surrounds
37,interconnects
38,analyzes
39,exhibits
40,co-occurs_with
41,manages
42,conceptually_related_to
43,consists_of
44,adjacent_to
45,derivative_of
