,relation
0,process_of
1,causes
2,interacts_with
3,affects
4,result_of
5,complicates
6,precedes
7,property_of
8,location_of
9,produces
10,performs
11,disrupts
12,exhibits
13,method_of
14,isa
15,associated_with
16,part_of
17,co-occurs_with
18,occurs_in
19,evaluation_of
20,manifestation_of
21,measurement_of
22,issue_in
23,contains
24,assesses_effect_of
25,diagnoses
26,degree_of
27,measures
28,manages
29,treats
30,prevents
31,carries_out
32,adjacent_to
33,indicates
34,uses
35,analyzes
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,consists_of
42,practices
43,conceptually_related_to
44,developmental_form_of
45,derivative_of
