,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,result_of
8,isa
9,degree_of
10,location_of
11,prevents
12,process_of
13,occurs_in
14,diagnoses
15,causes
16,manifestation_of
17,produces
18,treats
19,part_of
20,issue_in
21,complicates
22,connected_to
23,disrupts
24,uses
25,assesses_effect_of
26,precedes
27,property_of
28,co-occurs_with
29,manages
30,contains
31,exhibits
32,measurement_of
33,indicates
34,carries_out
35,adjacent_to
36,derivative_of
37,ingredient_of
38,conceptual_part_of
39,method_of
40,surrounds
41,interconnects
42,consists_of
43,practices
44,developmental_form_of
45,conceptually_related_to
