,relation
0,affects
1,interacts_with
2,location_of
3,process_of
4,causes
5,ingredient_of
6,result_of
7,produces
8,part_of
9,complicates
10,carries_out
11,associated_with
12,disrupts
13,manifestation_of
14,isa
15,co-occurs_with
16,diagnoses
17,measures
18,practices
19,occurs_in
20,property_of
21,issue_in
22,prevents
23,performs
24,assesses_effect_of
25,indicates
26,measurement_of
27,precedes
28,treats
29,contains
30,uses
31,degree_of
32,evaluation_of
33,method_of
34,connected_to
35,conceptual_part_of
36,manages
37,conceptually_related_to
38,surrounds
39,exhibits
40,consists_of
41,adjacent_to
42,analyzes
43,developmental_form_of
44,interconnects
45,derivative_of
