,relation
0,affects
1,associated_with
2,result_of
3,location_of
4,isa
5,part_of
6,interacts_with
7,manifestation_of
8,process_of
9,exhibits
10,causes
11,measurement_of
12,produces
13,measures
14,occurs_in
15,complicates
16,precedes
17,method_of
18,diagnoses
19,evaluation_of
20,disrupts
21,uses
22,issue_in
23,co-occurs_with
24,property_of
25,prevents
26,performs
27,treats
28,assesses_effect_of
29,indicates
30,carries_out
31,degree_of
32,manages
33,analyzes
34,contains
35,surrounds
36,interconnects
37,consists_of
38,adjacent_to
39,conceptual_part_of
40,connected_to
41,developmental_form_of
42,ingredient_of
43,practices
44,derivative_of
45,conceptually_related_to
