,relation
0,location_of
1,process_of
2,connected_to
3,precedes
4,associated_with
5,treats
6,property_of
7,uses
8,disrupts
9,result_of
10,interacts_with
11,produces
12,evaluation_of
13,causes
14,issue_in
15,affects
16,part_of
17,analyzes
18,complicates
19,measurement_of
20,carries_out
21,contains
22,performs
23,method_of
24,measures
25,surrounds
26,interconnects
27,isa
28,diagnoses
29,manifestation_of
30,exhibits
31,co-occurs_with
32,ingredient_of
33,assesses_effect_of
34,occurs_in
35,prevents
36,indicates
37,degree_of
38,adjacent_to
39,conceptual_part_of
40,manages
41,consists_of
42,developmental_form_of
43,conceptually_related_to
44,derivative_of
45,practices
