,entity
0,vitamin
1,lipid
2,sign_or_symptom
3,physiologic_function
4,hormone
5,food
6,cell_or_molecular_dysfunction
7,anatomical_abnormality
8,anatomical_structure
9,experimental_model_of_disease
10,human_caused_phenomenon_or_process
11,organ_or_tissue_function
12,organism_function
13,virus
14,clinical_attribute
15,mental_or_behavioral_dysfunction
16,pharmacologic_substance
17,gene_or_genome
18,molecular_function
19,organic_chemical
20,invertebrate
21,element_ion_or_isotope
22,qualitative_concept
23,antibiotic
24,age_group
25,diagnostic_procedure
26,cell
27,pathologic_function
28,laboratory_procedure
29,vertebrate
30,laboratory_or_test_result
31,congenital_abnormality
32,quantitative_concept
33,body_part_organ_or_organ_component
34,neoplastic_process
35,organism_attribute
36,health_care_related_organization
37,self_help_or_relief_organization
38,health_care_activity
39,acquired_abnormality
40,injury_or_poisoning
41,research_activity
42,organophosphorus_compound
43,mental_process
44,population_group
45,biologically_active_substance
46,finding
47,environmental_effect_of_humans
48,genetic_function
49,organization
50,enzyme
51,therapeutic_or_preventive_procedure
52,drug_delivery_device
53,natural_phenomenon_or_process
54,biologic_function
55,inorganic_chemical
56,behavior
57,chemical_viewed_structurally
58,molecular_biology_research_technique
59,cell_function
60,chemical_viewed_functionally
61,fungus
62,family_group
63,neuroreactive_substance_or_biogenic_amine
64,hazardous_or_poisonous_substance
65,steroid
66,carbohydrate
67,educational_activity
68,temporal_concept
69,nucleic_acid_nucleoside_or_nucleotide
70,body_space_or_junction
71,occupational_activity
72,fully_formed_anatomical_structure
73,occupation_or_discipline
74,idea_or_concept
75,body_system
76,biomedical_or_dental_material
77,disease_or_syndrome
78,alga
79,amino_acid_peptide_or_protein
80,classification
81,receptor
82,tissue
83,cell_component
84,individual_behavior
85,eicosanoid
86,professional_or_occupational_group
87,governmental_or_regulatory_activity
88,machine_activity
89,archaeon
90,group_attribute
91,bacterium
92,professional_society
93,fish
94,medical_device
95,rickettsia_or_chlamydia
96,embryonic_structure
97,indicator_reagent_or_diagnostic_aid
98,group
99,body_location_or_region
100,nucleotide_sequence
101,conceptual_entity
102,social_behavior
103,mammal
104,phenomenon_or_process
105,body_substance
106,amphibian
107,geographic_area
108,chemical
109,reptile
110,functional_concept
111,patient_or_disabled_group
112,immunologic_factor
113,human
114,molecular_sequence
115,plant
116,regulation_or_law
117,substance
118,intellectual_product
119,daily_or_recreational_activity
120,manufactured_object
121,bird
122,animal
123,research_device
124,clinical_drug
125,entity
126,activity
127,spatial_concept
128,amino_acid_sequence
129,language
130,biomedical_occupation_or_discipline
131,organism
132,physical_object
133,carbohydrate_sequence
134,event
