,relation
0,complicates
1,isa
2,evaluation_of
3,affects
4,ingredient_of
5,process_of
6,indicates
7,manifestation_of
8,part_of
9,result_of
10,interacts_with
11,produces
12,uses
13,issue_in
14,measures
15,causes
16,location_of
17,co-occurs_with
18,measurement_of
19,precedes
20,carries_out
21,disrupts
22,associated_with
23,prevents
24,assesses_effect_of
25,performs
26,conceptual_part_of
27,contains
28,connected_to
29,manages
30,diagnoses
31,analyzes
32,property_of
33,exhibits
34,method_of
35,treats
36,occurs_in
37,interconnects
38,consists_of
39,surrounds
40,degree_of
41,adjacent_to
42,developmental_form_of
43,practices
44,derivative_of
45,conceptually_related_to
