,relation
0,result_of
1,causes
2,affects
3,produces
4,manifestation_of
5,isa
6,interacts_with
7,issue_in
8,location_of
9,process_of
10,complicates
11,prevents
12,manages
13,evaluation_of
14,associated_with
15,measures
16,conceptually_related_to
17,disrupts
18,performs
19,part_of
20,occurs_in
21,ingredient_of
22,precedes
23,uses
24,exhibits
25,treats
26,diagnoses
27,surrounds
28,consists_of
29,degree_of
30,derivative_of
31,assesses_effect_of
32,connected_to
33,co-occurs_with
34,analyzes
35,carries_out
36,contains
37,indicates
38,method_of
39,measurement_of
40,conceptual_part_of
41,property_of
42,developmental_form_of
43,adjacent_to
44,practices
45,interconnects
