,relation
0,affects
1,manifestation_of
2,causes
3,measures
4,co-occurs_with
5,isa
6,disrupts
7,produces
8,issue_in
9,associated_with
10,interacts_with
11,location_of
12,part_of
13,process_of
14,result_of
15,property_of
16,assesses_effect_of
17,uses
18,manages
19,precedes
20,complicates
21,analyzes
22,ingredient_of
23,exhibits
24,treats
25,method_of
26,prevents
27,derivative_of
28,evaluation_of
29,performs
30,diagnoses
31,carries_out
32,measurement_of
33,connected_to
34,conceptual_part_of
35,contains
36,surrounds
37,occurs_in
38,degree_of
39,developmental_form_of
40,consists_of
41,adjacent_to
42,indicates
43,interconnects
44,conceptually_related_to
45,practices
