,relation
0,produces
1,issue_in
2,affects
3,associated_with
4,co-occurs_with
5,interacts_with
6,developmental_form_of
7,part_of
8,process_of
9,isa
10,result_of
11,property_of
12,disrupts
13,causes
14,assesses_effect_of
15,uses
16,location_of
17,consists_of
18,complicates
19,measures
20,diagnoses
21,manifestation_of
22,manages
23,ingredient_of
24,exhibits
25,measurement_of
26,connected_to
27,conceptual_part_of
28,analyzes
29,evaluation_of
30,performs
31,carries_out
32,indicates
33,prevents
34,method_of
35,precedes
36,treats
37,contains
38,occurs_in
39,adjacent_to
40,degree_of
41,conceptually_related_to
42,interconnects
43,practices
44,surrounds
45,derivative_of
