,relation
0,produces
1,part_of
2,affects
3,manifestation_of
4,causes
5,issue_in
6,interacts_with
7,associated_with
8,complicates
9,process_of
10,treats
11,isa
12,result_of
13,property_of
14,performs
15,evaluation_of
16,co-occurs_with
17,measures
18,disrupts
19,occurs_in
20,uses
21,analyzes
22,diagnoses
23,manages
24,contains
25,precedes
26,location_of
27,exhibits
28,method_of
29,measurement_of
30,assesses_effect_of
31,degree_of
32,prevents
33,carries_out
34,adjacent_to
35,indicates
36,developmental_form_of
37,ingredient_of
38,conceptual_part_of
39,connected_to
40,surrounds
41,consists_of
42,interconnects
43,conceptually_related_to
44,practices
45,derivative_of
