,entity
0,organophosphorus_compound
1,therapeutic_or_preventive_procedure
2,injury_or_poisoning
3,substance
4,cell_function
5,carbohydrate
6,organ_or_tissue_function
7,biologic_function
8,pathologic_function
9,activity
10,cell_component
11,enzyme
12,lipid
13,reptile
14,neuroreactive_substance_or_biogenic_amine
15,experimental_model_of_disease
16,antibiotic
17,professional_or_occupational_group
18,qualitative_concept
19,sign_or_symptom
20,research_activity
21,laboratory_or_test_result
22,behavior
23,tissue
24,body_part_organ_or_organ_component
25,organic_chemical
26,disease_or_syndrome
27,organism_function
28,receptor
29,chemical_viewed_structurally
30,finding
31,embryonic_structure
32,family_group
33,natural_phenomenon_or_process
34,anatomical_abnormality
35,mental_process
36,cell_or_molecular_dysfunction
37,virus
38,clinical_attribute
39,conceptual_entity
40,patient_or_disabled_group
41,molecular_biology_research_technique
42,molecular_function
43,genetic_function
44,fully_formed_anatomical_structure
45,cell
46,immunologic_factor
47,animal
48,amino_acid_peptide_or_protein
49,chemical_viewed_functionally
50,social_behavior
51,group
52,individual_behavior
53,inorganic_chemical
54,group_attribute
55,physiologic_function
56,biomedical_or_dental_material
57,rickettsia_or_chlamydia
58,regulation_or_law
59,amphibian
60,organism_attribute
61,laboratory_procedure
62,diagnostic_procedure
63,acquired_abnormality
64,pharmacologic_substance
65,medical_device
66,nucleic_acid_nucleoside_or_nucleotide
67,mental_or_behavioral_dysfunction
68,vitamin
69,body_substance
70,occupation_or_discipline
71,food
72,steroid
73,neoplastic_process
74,fungus
75,human
76,hormone
77,hazardous_or_poisonous_substance
78,bacterium
79,invertebrate
80,research_device
81,congenital_abnormality
82,plant
83,population_group
84,health_care_activity
85,anatomical_structure
86,governmental_or_regulatory_activity
87,organism
88,age_group
89,health_care_related_organization
90,body_system
91,indicator_reagent_or_diagnostic_aid
92,drug_delivery_device
93,mammal
94,biologically_active_substance
95,language
96,manufactured_object
97,element_ion_or_isotope
98,phenomenon_or_process
99,geographic_area
100,body_location_or_region
101,clinical_drug
102,body_space_or_junction
103,alga
104,gene_or_genome
105,vertebrate
106,professional_society
107,idea_or_concept
108,organization
109,self_help_or_relief_organization
110,quantitative_concept
111,daily_or_recreational_activity
112,nucleotide_sequence
113,fish
114,human_caused_phenomenon_or_process
115,bird
116,spatial_concept
117,classification
118,environmental_effect_of_humans
119,eicosanoid
120,molecular_sequence
121,educational_activity
122,temporal_concept
123,functional_concept
124,machine_activity
125,archaeon
126,intellectual_product
127,amino_acid_sequence
128,event
129,occupational_activity
130,chemical
131,carbohydrate_sequence
132,physical_object
133,biomedical_occupation_or_discipline
134,entity
