,relation
0,affects
1,treats
2,analyzes
3,causes
4,result_of
5,produces
6,manifestation_of
7,isa
8,interacts_with
9,issue_in
10,location_of
11,process_of
12,complicates
13,prevents
14,manages
15,evaluation_of
16,associated_with
17,measures
18,contains
19,disrupts
20,performs
21,part_of
22,occurs_in
23,precedes
24,uses
25,diagnoses
26,surrounds
27,exhibits
28,consists_of
29,interconnects
30,developmental_form_of
31,degree_of
32,connected_to
33,co-occurs_with
34,assesses_effect_of
35,carries_out
36,measurement_of
37,indicates
38,method_of
39,conceptual_part_of
40,property_of
41,ingredient_of
42,derivative_of
43,adjacent_to
44,practices
45,conceptually_related_to
