,relation
0,interacts_with
1,issue_in
2,exhibits
3,affects
4,causes
5,isa
6,produces
7,manifestation_of
8,associated_with
9,result_of
10,evaluation_of
11,uses
12,location_of
13,analyzes
14,diagnoses
15,complicates
16,measurement_of
17,ingredient_of
18,process_of
19,property_of
20,conceptual_part_of
21,measures
22,precedes
23,treats
24,part_of
25,performs
26,occurs_in
27,disrupts
28,assesses_effect_of
29,interconnects
30,co-occurs_with
31,surrounds
32,degree_of
33,contains
34,prevents
35,indicates
36,carries_out
37,practices
38,developmental_form_of
39,manages
40,consists_of
41,connected_to
42,conceptually_related_to
43,derivative_of
44,adjacent_to
45,method_of
