,relation
0,affects
1,interacts_with
2,location_of
3,process_of
4,causes
5,ingredient_of
6,result_of
7,produces
8,part_of
9,complicates
10,carries_out
11,associated_with
12,disrupts
13,manifestation_of
14,isa
15,co-occurs_with
16,diagnoses
17,measures
18,treats
19,occurs_in
20,property_of
21,issue_in
22,prevents
23,performs
24,assesses_effect_of
25,conceptual_part_of
26,measurement_of
27,precedes
28,indicates
29,contains
30,degree_of
31,uses
32,evaluation_of
33,manages
34,method_of
35,exhibits
36,connected_to
37,conceptually_related_to
38,practices
39,surrounds
40,consists_of
41,analyzes
42,developmental_form_of
43,adjacent_to
44,interconnects
45,derivative_of
