,relation
0,associated_with
1,evaluation_of
2,measures
3,isa
4,indicates
5,causes
6,complicates
7,performs
8,interacts_with
9,issue_in
10,affects
11,location_of
12,precedes
13,result_of
14,diagnoses
15,process_of
16,measurement_of
17,occurs_in
18,produces
19,uses
20,ingredient_of
21,method_of
22,prevents
23,analyzes
24,exhibits
25,conceptual_part_of
26,part_of
27,assesses_effect_of
28,manifestation_of
29,treats
30,disrupts
31,co-occurs_with
32,connected_to
33,carries_out
34,degree_of
35,consists_of
36,contains
37,property_of
38,developmental_form_of
39,practices
40,manages
41,conceptually_related_to
42,derivative_of
43,adjacent_to
44,interconnects
45,surrounds
