,relation
0,produces
1,evaluation_of
2,affects
3,interacts_with
4,measures
5,result_of
6,disrupts
7,occurs_in
8,complicates
9,associated_with
10,process_of
11,performs
12,uses
13,analyzes
14,diagnoses
15,manifestation_of
16,co-occurs_with
17,causes
18,isa
19,manages
20,contains
21,precedes
22,issue_in
23,part_of
24,location_of
25,adjacent_to
26,property_of
27,exhibits
28,method_of
29,assesses_effect_of
30,measurement_of
31,degree_of
32,prevents
33,carries_out
34,developmental_form_of
35,indicates
36,connected_to
37,treats
38,ingredient_of
39,conceptual_part_of
40,surrounds
41,interconnects
42,consists_of
43,conceptually_related_to
44,practices
45,derivative_of
