,relation
0,result_of
1,causes
2,complicates
3,manifestation_of
4,disrupts
5,interacts_with
6,isa
7,affects
8,analyzes
9,process_of
10,contains
11,part_of
12,issue_in
13,location_of
14,produces
15,precedes
16,associated_with
17,indicates
18,occurs_in
19,measures
20,performs
21,measurement_of
22,uses
23,assesses_effect_of
24,method_of
25,degree_of
26,exhibits
27,co-occurs_with
28,prevents
29,carries_out
30,property_of
31,diagnoses
32,evaluation_of
33,ingredient_of
34,manages
35,connected_to
36,developmental_form_of
37,surrounds
38,treats
39,conceptual_part_of
40,adjacent_to
41,practices
42,interconnects
43,consists_of
44,conceptually_related_to
45,derivative_of
