,relation
0,issue_in
1,disrupts
2,affects
3,isa
4,location_of
5,process_of
6,connected_to
7,precedes
8,associated_with
9,treats
10,property_of
11,uses
12,result_of
13,interacts_with
14,produces
15,evaluation_of
16,causes
17,exhibits
18,developmental_form_of
19,complicates
20,part_of
21,measurement_of
22,carries_out
23,contains
24,performs
25,method_of
26,surrounds
27,interconnects
28,measures
29,analyzes
30,diagnoses
31,manifestation_of
32,co-occurs_with
33,ingredient_of
34,occurs_in
35,prevents
36,assesses_effect_of
37,indicates
38,degree_of
39,manages
40,conceptual_part_of
41,practices
42,consists_of
43,derivative_of
44,adjacent_to
45,conceptually_related_to
