DB,RunModel,DataModel,Ratio,Seed,MRR
UMLS,DistMult,random,104,101022850,0.7371414273819421
UMLS,DistMult,random,104,1466990855,0.7375625770507233
UMLS,DistMult,random,104,1859447115,0.7421946321829404
UMLS,DistMult,random,104,2164385946,0.7511899792088428
UMLS,DistMult,random,104,2376066489,0.7136670448795416
UMLS,DistMult,random,104,2430986565,0.7325046229227044
UMLS,DistMult,random,104,3087940365,0.7160200922238948
UMLS,DistMult,random,104,636282949,0.7102611713800197
UMLS,DistMult,random,104,694443915,0.7354006059683754
UMLS,DistMult,random,104,831769172,0.7542180615837807
UMLS,DistMult,random,156,101022850,0.7024262281704067
UMLS,DistMult,random,156,1466990855,0.7323665196525363
UMLS,DistMult,random,156,1859447115,0.7106966946511889
UMLS,DistMult,random,156,2164385946,0.7143634644346352
UMLS,DistMult,random,156,2376066489,0.6974471914329434
UMLS,DistMult,random,156,2430986565,0.7174464343676867
UMLS,DistMult,random,156,3087940365,0.7232732212443738
UMLS,DistMult,random,156,636282949,0.7019040181668444
UMLS,DistMult,random,156,694443915,0.7277517161944599
UMLS,DistMult,random,156,831769172,0.7211719598310378
UMLS,DistMult,random,208,101022850,0.6930331839910978
UMLS,DistMult,random,208,1466990855,0.717046543886084
UMLS,DistMult,random,208,1859447115,0.6946448559538339
UMLS,DistMult,random,208,2164385946,0.7126721741205757
UMLS,DistMult,random,208,2376066489,0.669409675284005
UMLS,DistMult,random,208,2430986565,0.685147363539741
UMLS,DistMult,random,208,3087940365,0.7138204184216816
UMLS,DistMult,random,208,636282949,0.6743393467704417
UMLS,DistMult,random,208,694443915,0.6771074240225913
UMLS,DistMult,random,208,831769172,0.7168430570086469
UMLS,DistMult,random,260,101022850,0.6632594303783419
UMLS,DistMult,random,260,1466990855,0.6868448593955476
UMLS,DistMult,random,260,1859447115,0.6754996366053002
UMLS,DistMult,random,260,2164385946,0.6940748913004584
UMLS,DistMult,random,260,2376066489,0.6721775535251253
UMLS,DistMult,random,260,2430986565,0.6510857968647565
UMLS,DistMult,random,260,3087940365,0.6727502711735012
UMLS,DistMult,random,260,636282949,0.655212807009816
UMLS,DistMult,random,260,694443915,0.6705675175352911
