,relation
0,associated_with
1,property_of
2,produces
3,result_of
4,affects
5,assesses_effect_of
6,measures
7,diagnoses
8,complicates
9,process_of
10,surrounds
11,precedes
12,indicates
13,developmental_form_of
14,isa
15,adjacent_to
16,evaluation_of
17,disrupts
18,uses
19,carries_out
20,causes
21,treats
22,issue_in
23,interacts_with
24,measurement_of
25,interconnects
26,degree_of
27,part_of
28,prevents
29,conceptual_part_of
30,practices
31,analyzes
32,consists_of
33,manages
34,connected_to
35,exhibits
36,ingredient_of
37,occurs_in
38,method_of
39,conceptually_related_to
40,co-occurs_with
41,performs
42,location_of
43,manifestation_of
44,derivative_of
45,contains
