,entity
0,biologic_function
1,molecular_function
2,laboratory_procedure
3,organophosphorus_compound
4,neuroreactive_substance_or_biogenic_amine
5,acquired_abnormality
6,organism_function
7,qualitative_concept
8,physiologic_function
9,gene_or_genome
10,congenital_abnormality
11,indicator_reagent_or_diagnostic_aid
12,professional_or_occupational_group
13,biologically_active_substance
14,organic_chemical
15,organ_or_tissue_function
16,disease_or_syndrome
17,biomedical_occupation_or_discipline
18,medical_device
19,family_group
20,cell_or_molecular_dysfunction
21,mental_or_behavioral_dysfunction
22,clinical_attribute
23,sign_or_symptom
24,research_activity
25,rickettsia_or_chlamydia
26,mental_process
27,laboratory_or_test_result
28,pathologic_function
29,alga
30,social_behavior
31,receptor
32,self_help_or_relief_organization
33,hazardous_or_poisonous_substance
34,body_space_or_junction
35,nucleic_acid_nucleoside_or_nucleotide
36,inorganic_chemical
37,natural_phenomenon_or_process
38,cell_component
39,immunologic_factor
40,pharmacologic_substance
41,carbohydrate
42,hormone
43,organism_attribute
44,organism
45,neoplastic_process
46,regulation_or_law
47,chemical_viewed_structurally
48,anatomical_abnormality
49,enzyme
50,injury_or_poisoning
51,tissue
52,cell
53,population_group
54,body_part_organ_or_organ_component
55,virus
56,bacterium
57,antibiotic
58,fully_formed_anatomical_structure
59,behavior
60,eicosanoid
61,clinical_drug
62,age_group
63,diagnostic_procedure
64,cell_function
65,human
66,molecular_biology_research_technique
67,steroid
68,fungus
69,finding
70,individual_behavior
71,drug_delivery_device
72,genetic_function
73,experimental_model_of_disease
74,quantitative_concept
75,amino_acid_peptide_or_protein
76,food
77,vitamin
78,temporal_concept
79,professional_society
80,body_location_or_region
81,geographic_area
82,bird
83,therapeutic_or_preventive_procedure
84,health_care_activity
85,animal
86,phenomenon_or_process
87,lipid
88,group_attribute
89,organization
90,element_ion_or_isotope
91,chemical
92,occupational_activity
93,embryonic_structure
94,research_device
95,vertebrate
96,chemical_viewed_functionally
97,educational_activity
98,patient_or_disabled_group
99,environmental_effect_of_humans
100,nucleotide_sequence
101,molecular_sequence
102,governmental_or_regulatory_activity
103,substance
104,activity
105,reptile
106,functional_concept
107,manufactured_object
108,conceptual_entity
109,group
110,biomedical_or_dental_material
111,amphibian
112,body_substance
113,occupation_or_discipline
114,invertebrate
115,human_caused_phenomenon_or_process
116,plant
117,anatomical_structure
118,daily_or_recreational_activity
119,health_care_related_organization
120,body_system
121,mammal
122,physical_object
123,entity
124,spatial_concept
125,classification
126,fish
127,carbohydrate_sequence
128,language
129,machine_activity
130,amino_acid_sequence
131,intellectual_product
132,event
133,archaeon
134,idea_or_concept
