,relation
0,adjacent_to
1,affects
2,analyzes
3,assesses_effect_of
4,associated_with
5,carries_out
6,causes
7,co-occurs_with
8,complicates
9,conceptual_part_of
10,conceptually_related_to
11,connected_to
12,consists_of
13,contains
14,degree_of
15,derivative_of
16,developmental_form_of
17,diagnoses
18,disrupts
19,evaluation_of
20,exhibits
21,indicates
22,ingredient_of
23,interacts_with
24,interconnects
25,isa
26,issue_in
27,location_of
28,manages
29,manifestation_of
30,measurement_of
31,measures
32,method_of
33,occurs_in
34,part_of
35,performs
36,precedes
37,prevents
38,process_of
39,produces
40,property_of
41,result_of
42,surrounds
43,treats
44,uses
