,relation
0,causes
1,location_of
2,associated_with
3,performs
4,complicates
5,interacts_with
6,process_of
7,property_of
8,conceptually_related_to
9,issue_in
10,degree_of
11,isa
12,result_of
13,affects
14,measures
15,disrupts
16,part_of
17,manages
18,precedes
19,co-occurs_with
20,prevents
21,carries_out
22,produces
23,evaluation_of
24,manifestation_of
25,occurs_in
26,diagnoses
27,adjacent_to
28,indicates
29,contains
30,surrounds
31,assesses_effect_of
32,treats
33,uses
34,ingredient_of
35,conceptual_part_of
36,measurement_of
37,connected_to
38,method_of
39,interconnects
40,analyzes
41,exhibits
42,consists_of
43,derivative_of
44,practices
45,developmental_form_of
