,relation
0,process_of
1,causes
2,isa
3,manages
4,contains
5,manifestation_of
6,precedes
7,result_of
8,interacts_with
9,affects
10,produces
11,evaluation_of
12,issue_in
13,associated_with
14,part_of
15,complicates
16,location_of
17,disrupts
18,occurs_in
19,property_of
20,performs
21,exhibits
22,method_of
23,co-occurs_with
24,measurement_of
25,assesses_effect_of
26,diagnoses
27,analyzes
28,degree_of
29,measures
30,prevents
31,carries_out
32,adjacent_to
33,indicates
34,treats
35,uses
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,consists_of
42,developmental_form_of
43,conceptually_related_to
44,practices
45,derivative_of
