,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,carries_out
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,occurs_in
24,method_of
25,associated_with
26,degree_of
27,precedes
28,ingredient_of
29,manifestation_of
30,analyzes
31,exhibits
32,assesses_effect_of
33,uses
34,surrounds
35,practices
36,prevents
37,connected_to
38,treats
39,developmental_form_of
40,manages
41,conceptually_related_to
42,adjacent_to
43,interconnects
44,consists_of
45,derivative_of
