,relation
0,result_of
1,process_of
2,affects
3,occurs_in
4,causes
5,produces
6,complicates
7,carries_out
8,measures
9,issue_in
10,isa
11,disrupts
12,diagnoses
13,location_of
14,prevents
15,interacts_with
16,property_of
17,exhibits
18,indicates
19,measurement_of
20,associated_with
21,part_of
22,analyzes
23,co-occurs_with
24,performs
25,assesses_effect_of
26,manifestation_of
27,manages
28,treats
29,precedes
30,uses
31,evaluation_of
32,ingredient_of
33,adjacent_to
34,conceptual_part_of
35,derivative_of
36,degree_of
37,method_of
38,contains
39,consists_of
40,practices
41,surrounds
42,conceptually_related_to
43,connected_to
44,developmental_form_of
45,interconnects
