,relation
0,issue_in
1,process_of
2,complicates
3,indicates
4,part_of
5,affects
6,associated_with
7,location_of
8,carries_out
9,disrupts
10,performs
11,isa
12,interacts_with
13,produces
14,result_of
15,manifestation_of
16,causes
17,occurs_in
18,precedes
19,measures
20,degree_of
21,interconnects
22,assesses_effect_of
23,ingredient_of
24,conceptual_part_of
25,property_of
26,measurement_of
27,exhibits
28,prevents
29,co-occurs_with
30,connected_to
31,evaluation_of
32,uses
33,diagnoses
34,treats
35,method_of
36,conceptually_related_to
37,analyzes
38,consists_of
39,manages
40,contains
41,adjacent_to
42,derivative_of
43,surrounds
44,developmental_form_of
45,practices
