,relation
0,accusation
1,aidenemy
2,blockpositionindex
3,booktranslations
4,boycottembargo
5,commonbloc0
6,commonbloc1
7,commonbloc2
8,conferences
9,dependent
10,duration
11,economicaid
12,eemigrants
13,embassy
14,emigrants3
15,expeldiplomats
16,exportbooks
17,exports3
18,independence
19,intergovorgs
20,intergovorgs3
21,lostterritory
22,militaryactions
23,militaryalliance
24,negativebehavior
25,negativecomm
26,ngo
27,ngoorgs3
28,nonviolentbehavior
29,officialvisits
30,pprotests
31,relbooktranslations
32,reldiplomacy
33,releconomicaid
34,relemigrants
35,relexportbooks
36,relexports
37,relintergovorgs
38,relngo
39,relstudents
40,reltourism
41,reltreaties
42,severdiplomatic
43,students
44,timesinceally
45,timesincewar
46,tourism
47,tourism3
48,treaties
49,unoffialacts
50,unweightedunvote
51,violentactions
52,warning
53,weightedunvote
