,relation
0,result_of
1,assesses_effect_of
2,issue_in
3,contains
4,interacts_with
5,part_of
6,evaluation_of
7,connected_to
8,measurement_of
9,disrupts
10,affects
11,consists_of
12,causes
13,performs
14,measures
15,developmental_form_of
16,co-occurs_with
17,location_of
18,produces
19,associated_with
20,diagnoses
21,ingredient_of
22,conceptual_part_of
23,complicates
24,process_of
25,isa
26,derivative_of
27,precedes
28,uses
29,degree_of
30,method_of
31,exhibits
32,practices
33,occurs_in
34,prevents
35,manifestation_of
36,analyzes
37,interconnects
38,indicates
39,adjacent_to
40,surrounds
41,conceptually_related_to
42,treats
43,property_of
44,carries_out
45,manages
