,relation
0,process_of
1,contains
2,interacts_with
3,affects
4,conceptually_related_to
5,practices
6,consists_of
7,manages
8,result_of
9,issue_in
10,precedes
11,occurs_in
12,developmental_form_of
13,associated_with
14,treats
15,causes
16,conceptual_part_of
17,evaluation_of
18,measurement_of
19,carries_out
20,isa
21,location_of
22,measures
23,performs
24,disrupts
25,uses
26,produces
27,analyzes
28,ingredient_of
29,exhibits
30,diagnoses
31,manifestation_of
32,part_of
33,complicates
34,interconnects
35,method_of
36,prevents
37,property_of
38,derivative_of
39,degree_of
40,indicates
41,adjacent_to
42,surrounds
43,assesses_effect_of
44,connected_to
45,co-occurs_with
