,relation
0,result_of
1,complicates
2,affects
3,isa
4,part_of
5,interacts_with
6,disrupts
7,associated_with
8,causes
9,process_of
10,issue_in
11,produces
12,performs
13,indicates
14,manifestation_of
15,uses
16,analyzes
17,assesses_effect_of
18,evaluation_of
19,measures
20,location_of
21,degree_of
22,developmental_form_of
23,measurement_of
24,treats
25,exhibits
26,conceptual_part_of
27,precedes
28,connected_to
29,diagnoses
30,carries_out
31,occurs_in
32,prevents
33,interconnects
34,method_of
35,property_of
36,co-occurs_with
37,manages
38,practices
39,derivative_of
40,consists_of
41,ingredient_of
42,surrounds
43,contains
44,conceptually_related_to
45,adjacent_to
