,relation
0,result_of
1,property_of
2,complicates
3,measurement_of
4,manifestation_of
5,causes
6,affects
7,interacts_with
8,location_of
9,isa
10,process_of
11,part_of
12,measures
13,surrounds
14,associated_with
15,treats
16,disrupts
17,issue_in
18,uses
19,assesses_effect_of
20,produces
21,performs
22,contains
23,connected_to
24,carries_out
25,consists_of
26,analyzes
27,co-occurs_with
28,occurs_in
29,ingredient_of
30,exhibits
31,prevents
32,method_of
33,derivative_of
34,diagnoses
35,evaluation_of
36,conceptually_related_to
37,conceptual_part_of
38,precedes
39,developmental_form_of
40,degree_of
41,manages
42,interconnects
43,practices
44,indicates
45,adjacent_to
