,relation
0,produces
1,issue_in
2,affects
3,associated_with
4,co-occurs_with
5,interacts_with
6,carries_out
7,part_of
8,process_of
9,isa
10,result_of
11,property_of
12,disrupts
13,causes
14,assesses_effect_of
15,uses
16,location_of
17,analyzes
18,complicates
19,measures
20,surrounds
21,manifestation_of
22,manages
23,ingredient_of
24,exhibits
25,evaluation_of
26,performs
27,diagnoses
28,measurement_of
29,conceptually_related_to
30,prevents
31,precedes
32,treats
33,contains
34,occurs_in
35,conceptual_part_of
36,method_of
37,adjacent_to
38,developmental_form_of
39,degree_of
40,practices
41,indicates
42,connected_to
43,consists_of
44,derivative_of
45,interconnects
