,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,assesses_effect_of
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,occurs_in
24,method_of
25,associated_with
26,degree_of
27,precedes
28,ingredient_of
29,manifestation_of
30,analyzes
31,carries_out
32,derivative_of
33,conceptually_related_to
34,uses
35,surrounds
36,prevents
37,exhibits
38,practices
39,treats
40,connected_to
41,developmental_form_of
42,consists_of
43,manages
44,adjacent_to
45,interconnects
