,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,result_of
8,isa
9,degree_of
10,location_of
11,prevents
12,process_of
13,occurs_in
14,diagnoses
15,causes
16,manifestation_of
17,produces
18,measurement_of
19,part_of
20,issue_in
21,complicates
22,connected_to
23,disrupts
24,uses
25,assesses_effect_of
26,precedes
27,treats
28,property_of
29,co-occurs_with
30,manages
31,contains
32,exhibits
33,carries_out
34,adjacent_to
35,indicates
36,ingredient_of
37,conceptual_part_of
38,method_of
39,surrounds
40,interconnects
41,practices
42,developmental_form_of
43,consists_of
44,conceptually_related_to
45,derivative_of
