,relation
0,causes
1,affects
2,isa
3,produces
4,co-occurs_with
5,interacts_with
6,location_of
7,process_of
8,ingredient_of
9,result_of
10,part_of
11,complicates
12,carries_out
13,associated_with
14,disrupts
15,manifestation_of
16,diagnoses
17,measures
18,contains
19,occurs_in
20,property_of
21,issue_in
22,prevents
23,performs
24,assesses_effect_of
25,measurement_of
26,precedes
27,degree_of
28,connected_to
29,indicates
30,uses
31,evaluation_of
32,manages
33,treats
34,method_of
35,consists_of
36,conceptual_part_of
37,conceptually_related_to
38,analyzes
39,adjacent_to
40,surrounds
41,exhibits
42,developmental_form_of
43,interconnects
44,practices
45,derivative_of
