,entity
0,bacterium
1,sign_or_symptom
2,biologically_active_substance
3,body_substance
4,organ_or_tissue_function
5,gene_or_genome
6,fully_formed_anatomical_structure
7,nucleic_acid_nucleoside_or_nucleotide
8,reptile
9,enzyme
10,molecular_biology_research_technique
11,research_device
12,hormone
13,organophosphorus_compound
14,body_part_organ_or_organ_component
15,experimental_model_of_disease
16,congenital_abnormality
17,vitamin
18,immunologic_factor
19,cell_or_molecular_dysfunction
20,organism_attribute
21,neoplastic_process
22,acquired_abnormality
23,population_group
24,amino_acid_peptide_or_protein
25,inorganic_chemical
26,pharmacologic_substance
27,genetic_function
28,natural_phenomenon_or_process
29,geographic_area
30,diagnostic_procedure
31,body_location_or_region
32,indicator_reagent_or_diagnostic_aid
33,family_group
34,steroid
35,hazardous_or_poisonous_substance
36,carbohydrate
37,research_activity
38,chemical_viewed_structurally
39,qualitative_concept
40,health_care_activity
41,organism_function
42,individual_behavior
43,cell_component
44,therapeutic_or_preventive_procedure
45,nucleotide_sequence
46,molecular_function
47,amphibian
48,pathologic_function
49,mental_or_behavioral_dysfunction
50,laboratory_procedure
51,element_ion_or_isotope
52,biologic_function
53,mental_process
54,phenomenon_or_process
55,biomedical_or_dental_material
56,professional_society
57,vertebrate
58,cell_function
59,disease_or_syndrome
60,professional_or_occupational_group
61,finding
62,anatomical_abnormality
63,quantitative_concept
64,chemical
65,eicosanoid
66,drug_delivery_device
67,physiologic_function
68,tissue
69,invertebrate
70,medical_device
71,alga
72,human_caused_phenomenon_or_process
73,virus
74,injury_or_poisoning
75,machine_activity
76,plant
77,archaeon
78,language
79,neuroreactive_substance_or_biogenic_amine
80,laboratory_or_test_result
81,group
82,lipid
83,body_space_or_junction
84,health_care_related_organization
85,cell
86,receptor
87,governmental_or_regulatory_activity
88,human
89,fish
90,age_group
91,group_attribute
92,rickettsia_or_chlamydia
93,food
94,patient_or_disabled_group
95,clinical_attribute
96,carbohydrate_sequence
97,organic_chemical
98,substance
99,anatomical_structure
100,conceptual_entity
101,self_help_or_relief_organization
102,embryonic_structure
103,antibiotic
104,manufactured_object
105,occupational_activity
106,fungus
107,organization
108,educational_activity
109,chemical_viewed_functionally
110,animal
111,bird
112,body_system
113,mammal
114,intellectual_product
115,behavior
116,clinical_drug
117,occupation_or_discipline
118,social_behavior
119,functional_concept
120,activity
121,regulation_or_law
122,spatial_concept
123,environmental_effect_of_humans
124,temporal_concept
125,organism
126,daily_or_recreational_activity
127,entity
128,molecular_sequence
129,amino_acid_sequence
130,event
131,biomedical_occupation_or_discipline
132,idea_or_concept
133,classification
134,physical_object
