,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,analyzes
5,analyzes_inverse
6,analyzes_inverse_inverse
7,assesses_effect_of
8,assesses_effect_of_inverse
9,associated_with
10,associated_with_inverse
11,carries_out
12,carries_out_inverse
13,carries_out_inverse_inverse
14,causes
15,causes_inverse
16,co-occurs_with
17,co-occurs_with_inverse
18,co-occurs_with_inverse_inverse
19,complicates
20,complicates_inverse
21,complicates_inverse_inverse
22,conceptual_part_of
23,conceptual_part_of_inverse
24,conceptually_related_to
25,conceptually_related_to_inverse
26,connected_to
27,connected_to_inverse
28,consists_of
29,consists_of_inverse
30,contains
31,contains_inverse
32,degree_of
33,degree_of_inverse
34,derivative_of
35,derivative_of_inverse
36,developmental_form_of
37,developmental_form_of_inverse
38,diagnoses
39,diagnoses_inverse
40,disrupts
41,disrupts_inverse
42,evaluation_of
43,evaluation_of_inverse
44,exhibits
45,exhibits_inverse
46,indicates
47,indicates_inverse
48,indicates_inverse_inverse
49,ingredient_of
50,ingredient_of_inverse
51,interacts_with
52,interacts_with_inverse
53,interconnects
54,interconnects_inverse
55,isa
56,isa_inverse
57,issue_in
58,issue_in_inverse
59,location_of
60,location_of_inverse
61,manages
62,manages_inverse
63,manifestation_of
64,manifestation_of_inverse
65,measurement_of
66,measurement_of_inverse
67,measures
68,measures_inverse
69,method_of
70,method_of_inverse
71,occurs_in
72,occurs_in_inverse
73,part_of
74,part_of_inverse
75,performs
76,performs_inverse
77,practices
78,practices_inverse
79,precedes
80,precedes_inverse
81,prevents
82,prevents_inverse
83,process_of
84,process_of_inverse
85,process_of_inverse_inverse
86,produces
87,produces_inverse
88,property_of
89,property_of_inverse
90,result_of
91,result_of_inverse
92,surrounds
93,surrounds_inverse
94,treats
95,treats_inverse
96,uses
97,uses_inverse
