,relation
0,property_of
1,method_of
2,disrupts
3,produces
4,affects
5,degree_of
6,interconnects
7,issue_in
8,measures
9,isa
10,adjacent_to
11,derivative_of
12,performs
13,associated_with
14,part_of
15,causes
16,interacts_with
17,measurement_of
18,result_of
19,evaluation_of
20,conceptual_part_of
21,precedes
22,indicates
23,occurs_in
24,conceptually_related_to
25,treats
26,diagnoses
27,process_of
28,manifestation_of
29,uses
30,ingredient_of
31,location_of
32,developmental_form_of
33,carries_out
34,complicates
35,analyzes
36,consists_of
37,co-occurs_with
38,assesses_effect_of
39,prevents
40,exhibits
41,contains
42,manages
43,connected_to
44,surrounds
45,practices
