,relation
0,affects
1,part_of
2,issue_in
3,causes
4,uses
5,exhibits
6,occurs_in
7,derivative_of
8,diagnoses
9,complicates
10,evaluation_of
11,co-occurs_with
12,connected_to
13,conceptual_part_of
14,process_of
15,result_of
16,location_of
17,ingredient_of
18,produces
19,practices
20,isa
21,developmental_form_of
22,disrupts
23,interacts_with
24,measurement_of
25,method_of
26,adjacent_to
27,indicates
28,manifestation_of
29,analyzes
30,contains
31,degree_of
32,consists_of
33,conceptually_related_to
34,interconnects
35,performs
36,precedes
37,carries_out
38,assesses_effect_of
39,treats
40,associated_with
41,prevents
42,measures
43,surrounds
44,property_of
45,manages
